qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1839824	491022	2330846
ins_a_001	B	19774	5235	25009
ins_a_002	A	16592	5402	21994
ins_a_003	B	21808	9195	31003
ins_a_004	A	22392	5284	27676
ins_a_005	ABCD	21074	4992	26066
ins_a_006	A	13118	6553	19671
ins_a_007	C	17634	7521	25155
ins_a_008	ABC	21172	4442	25614
ins_a_009	C	16676	5116	21792
ins_a_010	AB	21132	4485	25617
ins_a_011	BC	21812	5107	26919
ins_a_012	A	20278	4229	24507
ins_a_013	A	15392	5185	20577
ins_a_014	ABD	21184	5409	26593
ins_a_015	AB	21212	4470	25682
ins_a_016	D	25671	7596	33267
ins_a_017	ABCD	20924	4968	25892
ins_a_018	BCD	21616	4749	26365
ins_a_019	A	23298	8048	31346
ins_a_020	D	18292	6243	24535
fc_a_001	ABD	16076	4210	20286
fc_a_002	ABD	16630	3727	20357
fc_a_003	A	5503	1500	7003
fc_a_004	A	16460	4507	20967
fc_a_005	ABD	16346	4546	20892
fc_a_006	A	7764	2209	9973
fc_a_007	BD	17150	4230	21380
fc_a_008	B	17156	4706	21862
fc_a_009	ABD	17770	3798	21568
fc_a_010	A	7223	1652	8875
fc_a_011	AB	15886	3563	19449
fc_a_012	ACD	17874	4821	22695
fc_a_013	A	13722	3939	17661
fc_a_014	B	20301	7631	27932
fc_a_015	A	16716	4510	21226
fc_a_016	ABC	16480	4639	21119
fc_a_017	ABD	16592	4763	21355
fc_a_018	A	6576	2509	9085
fc_a_019	AB	17476	4363	21839
fc_a_020	AB	16122	3840	19962
fin_a_001	AB	19152	4817	23969
fin_a_002	AB	21927	8223	30150
fin_a_003	A	8075	2318	10393
fin_a_004	ABD	17254	5333	22587
fin_a_005	ABD	17924	4155	22079
fin_a_006	A	8276	2688	10964
fin_a_007	ABD	17688	4251	21939
fin_a_008	B	23578	9318	32896
fin_a_009	ABC	18640	4298	22938
fin_a_010	A	8418	2421	10839
fin_a_011	ACD	17536	4845	22381
fin_a_012	ABD	18038	4390	22428
fin_a_013	A	7826	2105	9931
fin_a_014	AB	18024	5178	23202
fin_a_015	A	22713	10203	32916
fin_a_016	AD	17010	5420	22430
fin_a_017	AC	17560	4299	21859
fin_a_018	A	8140	2475	10615
fin_a_019	AB	17742	4397	22139
fin_a_020	AB	18252	5032	23284
reg_a_001	ACD	10984	4683	15667
reg_a_002	ABC	8454	4312	12766
reg_a_003	A	3440	2382	5822
reg_a_004	AC	16766	7051	23817
reg_a_005	ABC	16807	7129	23936
reg_a_006	A	3640	1870	5510
reg_a_007	ACD	8972	4860	13832
reg_a_008	A	12728	4527	17255
reg_a_009	ABD	10396	4481	14877
reg_a_010	B	3860	2052	5912
reg_a_011	ACD	12426	4609	17035
reg_a_012	ABD	11016	4536	15552
reg_a_013	A	3376	1904	5280
reg_a_014	ABD	9582	3673	13255
reg_a_015	C	11436	4080	15516
reg_a_016	ABD	12632	4512	17144
reg_a_017	AB	12220	4361	16581
reg_a_018	A	4745	1772	6517
reg_a_019	ABD	12790	4209	16999
reg_a_020	ABD	11928	3901	15829
res_a_001	ABC	19785	7464	27249
res_a_002	ABC	13752	4643	18395
res_a_003	A	7178	2508	9686
res_a_004	ABC	19375	7232	26607
res_a_005	ABC	17901	6251	24152
res_a_006	A	7417	1796	9213
res_a_007	ABC	14396	4413	18809
res_a_008	A	13486	4290	17776
res_a_009	ABC	15066	4397	19463
res_a_010	A	4532	1483	6015
res_a_011	BC	16748	4627	21375
res_a_012	ABC	14904	4312	19216
res_a_013	B	7165	2152	9317
res_a_014	ABC	14616	3829	18445
res_a_015	A	15632	3841	19473
res_a_016	ACD	15326	4600	19926
res_a_017	ABD	14746	4819	19565
res_a_018	A	6889	1936	8825
res_a_019	AB	17212	4456	21668
res_a_020	BD	17576	4601	22177
